medicamento,componente,forma_farmaceutica,concentracao
"Concentração/ Composição​","Componente Estratégico","pó para solução injetável","2 mg (100.000 UI)"
"Concentração/ Composição​","Componente Estratégico","pó para solução injetável","5 mg (250.000 UI)"
"Concentração/ Composição​","Componente Estratégico","pó para solução injetável","1.000 UI"
"Concentração/ Composição​","Componente Estratégico","pó para solução injetável","500 UI"
"Concentração/ Composição​","Componente Estratégico","pó para solução injetável","250 UI"
"Concentração/ Composição​","Componente Estratégico","pó para solução injetável","250 UI"
"Concentração/ Composição​","Componente Estratégico","pó para solução injetável","500 UI"
"Concentração/ Composição​","Componente Estratégico","pó para solução injetável","1.000 UI"
"Concentração/ Composição​","Componente Estratégico","pó para solução injetável","250 UI"
"Concentração/ Composição​","Componente Estratégico","pó para solução injetável","500 UI"
"Concentração/ Composição​","Componente Estratégico","pó para solução injetável","1.000 UI"
"Concentração/ Composição​","Componente Estratégico","pó para solução injetável continua","1.500 UI"
"fator XIII de coagulação","Componente Estratégico","pó para solução injetável","250 UI"
"fenoximetilpenicilina potássica","Componente Estratégico","pó para solução oral","80.000 UI/mL"
"fibrinogênio","Componente Estratégico","pó para solução injetável","1g"
"flucitosina","Componente Estratégico","cápsula","500 mg"
"fluconazol","Componente Estratégico","solução injetável","2 mg/mL"
"folinato de cálcio","Componente Estratégico","comprimido","15 mg"
"fosamprenavir","Componente Estratégico","suspensão oral","50 mg/mL"
"fosamprenavir","Componente Estratégico","cápsula","30 mg"
"fosamprenavir","Componente Estratégico","cápsula","45 mg"
"fosamprenavir","Componente Estratégico","cápsula","75 mg"
"fostensavir trometamol","Componente Estratégico","comprimido de liberação prolongada","600 mg"
"fumarato de tenofovir desoproxila","Componente Estratégico","comprimido","300 mg"
"fumarato de tenofovir desoproxila + entricitabina","Componente Estratégico","comprimido","300 mg + 200 mg"
"fumarato de tenofovir desoproxila + lamivudina","Componente Estratégico","comprimido","300 mg + 300 mg"
"fumarato de tenofovir desoproxila + lamivudina + efavirenz","Componente Estratégico","comprimido","300 mg + 300 mg + 600 mg"
"glecaprevir + pibrentasvir","Componente Estratégico","comprimido","100 mg + 40 mg"
"hemifumarato de tenofovir alafenamida","Componente Estratégico","comprimido","25 mg"
"imunoglobulina antitetânica","Componente Estratégico","solução injetável","250 UI/mL"
"imunoglobulina antitetânica","Componente Estratégico","solução injetável","180 - 200 UI/mL"
"imunoglobulina antitetânica","Componente Estratégico","solução injetável","600 UI"
"imunoglobulina antitetânica","Componente Estratégico","solução injetável","100 UI"
"imunoglobulina antitetânica","Componente Estratégico","solução injetável","500 UI"
"imunoglobulina antitetânica","Componente Estratégico","solução injetável","1.000 UI"
"imunoglobulina humana antirrábica","Componente Estratégico","solução injetável","150 UI/mL"
"imunoglobulina humana antivaricela zoster","Componente Estratégico","solução injetável","125 UI/ 2,5 mL"
"imunoglobulina humana antivaricela zoster","Componente Estratégico","comprimido","130 mg"
"imunoglobulina humana antivaricela zoster","Componente Estratégico","xarope","20 mg/mL"
"imunoglobulina humana antivaricela zoster","Componente Estratégico","pó para solução injetável","300 mg"
"imunoglobulina humana antivaricela zoster","Componente Estratégico","comprimido","100 mg"
"imunoglobulina humana antivaricela zoster","Componente Estratégico","comprimido","300 mg"
"imunoglobulina humana antivaricela zoster","Componente Estratégico","cápsula","100 mg"
"imunoglobulina humana antivaricela zoster","Componente Estratégico","solução oral","10 mg/mL"
"imunoglobulina humana antivaricela zoster","Componente Estratégico","comprimido","150 mg"
"imunoglobulina humana antivaricela zoster","Componente Estratégico","comprimido","90 mg + 100 mg"
"Concentração/ Composição​","Componente Estratégico","comprimido","250 mg"
"Concentração/ Composição​","Componente Estratégico","comprimido","500 mg"
"Concentração/ Composição​","Componente Estratégico","comprimido","600 mg"
"Concentração/ Composição​","Componente Estratégico","solução para infusão","2 mg/mL"
"Concentração/ Composição​","Componente Estratégico","comprimido","200 mg + 50 mg"
"Concentração/ Composição​","Componente Estratégico","solução oral","80 mg/mL + 20 mg/mL"
"Concentração/ Composição​","Componente Estratégico","comprimido","100 mg + 25 mg"
"maraviroque","Componente Estratégico","comprimido","150 mg"
"micronutrientes","Componente Estratégico","pó","cada sachê de 1 g contém: vitamina A 400 mcg, vitamina D 5 mcg, vitamina E 5 mg, vitamina C 30 mg, vitamina B1 0,5 mg, vitamina B2 0,5 mg, vitamina B6 0,5 mg, vitamina PP 6 mg, vitamina B9 150 mcg, vitamina B12 0,9 mcg, ferro 10 mg, zinco 4,1 mg, cobre 560 mcg, selênio 17 mcg, iodo 90 mcg"
"micronutrientes","Componente Estratégico","cápsula","10 mg"
"micronutrientes","Componente Estratégico","cápsula","50 mg"
"micronutrientes","Componente Estratégico","comprimido","200 mg"
"micronutrientes","Componente Estratégico","suspensão oral","10 mg/mL"
"Concentração/ Composição​","Componente Estratégico","adesivo transdérmico","7 mg"
"Concentração/ Composição​","Componente Estratégico","adesivo transdérmico","14 mg"
"Concentração/ Composição​","Componente Estratégico","adesivo transdérmico","21 mg"
"Concentração/ Composição​","Componente Estratégico","","2 mg"
"goma de mascar","Componente Estratégico","","2 mg"
"nifurtimox","Componente Estratégico","comprimido","120 mg"
"nirmatrelvir + ritonavir","Componente Estratégico","comprimido","150 mg + 100 mg"
"ofloxacino","Componente Estratégico","comprimido","400 mg"
"oxamniquina","Componente Estratégico","suspensão oral","50 mg/mL"
"palivizumabe","Componente Estratégico","solução injetável","100 mg/mL (frasco de 0,5 mL e 1 mL)"
"palivizumabe","Componente Estratégico","cápsula mole","100.000 UI"
"palivizumabe","Componente Estratégico","cápsula mole","200.000 UI"
"palivizumabe","Componente Estratégico","comprimido de liberação prolongada","400 mg"
"palivizumabe","Componente Estratégico","comprimido","500 mg"
"palivizumabe","Componente Estratégico","suspensão oral","30 mg/mL (3%)"
"palivizumabe","Componente Estratégico","comprimido dispersível","150 mg"
"pirimetamina","Componente Estratégico","comprimido","25 mg"
"praziquantel","Componente Estratégico","comprimido","600 mg"
"praziquantel","Componente Estratégico","comprimido","20 mg"
"praziquantel","Componente Estratégico","comprimido","5 mg"
"Concentração/ Composição​","Componente Estratégico","comprimido","200 mg"
"Concentração/ Composição​","Componente Estratégico","granulado para suspensão oral","100 mg"
"Concentração/ Composição​","Componente Estratégico","comprimido mastigável","100 mg"
"Concentração/ Composição​","Componente Estratégico","comprimido","400 mg"
"ribavirina","Componente Estratégico","cápsula","250 mg"
"rifabutina","Componente Estratégico","cápsula","150 mg"
"rifabutina","Componente Estratégico","suspensão oral","20 mg/mL"
"rifabutina","Componente Estratégico","cápsula","150 mg*"
"rifabutina","Componente Estratégico","cápsula","300 mg"
"rifabutina","Componente Estratégico","comprimido","150 mg + 75 mg"
"rifabutina","Componente Estratégico","comprimidos dispersíveis","75 mg + 50 mg"
"rifabutina","Componente Estratégico","comprimido","300 mg + 150 mg"
"rifampicina + isoniazida + pirazinamida","Componente Estratégico","comprimidos dispersíveis","75 mg + 50 mg + 150 mg"
"rifampicina + isoniazida + pirazinamida + cloridrato de etambutol","Componente Estratégico","comprimido","150 mg + 75 mg + 400 mg + 275 mg"
"rifapentina","Componente Estratégico","comprimido","150 mg"
"rifapentina + isoniazida","Componente Estratégico","comprimido","300 mg + 300 mg"
"ritonavir","Componente Estratégico","comprimido","100 mg"
"sofosbuvir","Componente Estratégico","comprimido","400 mg"
"sofosbuvir + velpatasvir","Componente Estratégico","comprimido","400 mg + 100 mg"
"sofosbuvir + velpatasvir + voxilaprevir","Componente Estratégico","comprimido","400 mg + 100 mg + 100 mg"
"soro antiaracnídico (Loxosceles, Phoneutria e Tityus)","Componente Estratégico","solução injetável","cada mL contém imunoglobulinas que neutralizam, no mínimo, 1,5 Dose Mínima Mortal (DMM) de veneno de Tityus serrulatus (1,5 DMM/mL), 1,5 DMM de veneno de Phoneutria nigriventer (1,5 DMM/mL) e 15 DMN (Dose Mínima Necrosante) de veneno de Loxosceles gaucho (15 DMN/mL)"
"soro antibotrópico (pentavalente)","Componente Estratégico","solução injetável","cada mL contém imunoglobulinas (IgG) que neutralizam, no mínimo, 5 mg de veneno de Bothrops jararaca (5 mg/mL)"
"soro antibotrópico (pentavalente) e anticrotálico","Componente Estratégico","solução injetável","cada mL contém imunoglobulinas que neutralizam, no mínimo, 5 mg de veneno de Bothrops jararaca e a 1,5 mg de veneno de Crotalus durissus terrifcus (5 mg/mL e 1,5 mg/mL)"
"soro antibotrópico (pentavalente) e antilaquético","Componente Estratégico","solução injetável","cada mL contém imunoglobulinas que neutralizam, no mínimo, 5 mg de veneno de Bothrops jararaca e 3 mg de veneno de Lachesis muta (5 mg/mL e 3 mg/mL)"
"soro antibotulínico AB (bivalente)","Componente Estratégico","solução injetável","cada mL contém imunoglobulinas que neutralizam, no mínimo, 375 UI de toxina butolínica tipo A e 275 UI de toxina botulínica tipo B (375 UI/mL e 275 UI/mL)"
"soro anticrotálico","Componente Estratégico","solução injetável","cada mL contém imunoglobulinas que neutralizam, no mínimo, 1,5 mg de veneno Crotalus durissus terrifcus (1,5 mg/mL)"
"soro antidiftérico","Componente Estratégico","solução injetável","cada mL contém imunoglobulinas que neutralizam, no mínimo, 1.000 UI de toxina diftérica (1.000 UI/mL)"
"soro antielapídico (bivalente)","Componente Estratégico","solução injetável","cada mL contém imunoglobulinas que neutralizam, no mínimo, 1,5 mg de veneno de Micrurus frontalis (1,5 mg/mL)"
"cada mL contém imunoglobulinas que neutralizam, no mínimo 1,5 DMM (Dose Mínima Mortal) de veneno de Tityus serrulatus (1,5 DMM/mL)","Componente Estratégico","solução injetável",""
"soro antilonômico","Componente Estratégico","solução injetável","cada mL contém imunoglobulinas que neutralizam, no mínimo, 0,35 mg de veneno de Lonomia obliqua (0,35 mg/mL)"
"cada mL contém imunoglobulinas que neutralizam, no mínimo, 15 DMN (Dose Mínima Necrosante) de veneno de aranhas das espécies Loxosceles laeta, Loxosceles gaucho e Loxosceles intermedia (15 DMN/mL)","Componente Estratégico","solução injetável",""
"soro antirrábico","Componente Estratégico","solução injetável","cada mL contém imonoglobulinas que neutralizam, no mínimo, 200 UI de vírus da raiva (200 UI/mL)"
"soro antitetânico","Componente Estratégico","solução injetável","cada mL contém imunoglobulinas que neutralizam, no mínimo, 1.000 UI de toxina tetânica"
"succinato de tafenoquina","Componente Estratégico","comprimido","150 mg"
"sulfadiazina","Componente Estratégico","comprimido","500 mg"
"sulfadiazina","Componente Estratégico","solução oral","20 mg/mL"
"sulfadiazina","Componente Estratégico","comprimido","300 mg"
"sulfato de amicacina","Componente Estratégico","solução injetável","250 mg/mL"
"sulfato de atazanavir","Componente Estratégico","cápsula","300 mg"
"sulfato de estreptomicina","Componente Estratégico","pó para solução injetável","1g"
"sulfato de estreptomicina","Componente Estratégico","cápsula","100 mg"
"sulfato de estreptomicina","Componente Estratégico","pó liofilizado para solução injetável","200 mg"
"talidomida","Componente Estratégico","comprimido","100 mg"
"terizidona","Componente Estratégico","cápsula","250 mg"
"Concentração/ Composição​","Componente Estratégico","cápsula","250 mg"
"Concentração/ Composição​","Componente Estratégico","solução oral","100 mg/mL"
"vacina adsorvida difteria e tétano adulto","Componente Estratégico","",""
"vacina adsorvida difteria e tétano adulto","Componente Estratégico","suspensão injetável",""
"vacina adsorvida difteria e tétano infantil","Componente Estratégico","",""
"vacina adsorvida difteria e tétano infantil","Componente Estratégico","suspensão injetável",""
"vacina adsorvida difteria, tétano e pertussis","Componente Estratégico","",""
"vacina adsorvida difteria, tétano e pertussis","Componente Estratégico","suspensão injetável",""
"vacina adsorvida difteria, tétano e pertussis (acelular) adulto","Componente Estratégico","",""
"vacina adsorvida difteria, tétano e pertussis (acelular) adulto","Componente Estratégico","suspensão injetável",""
"vacina adsorvida difteria, tétano e pertussis (acelular) infantil","Componente Estratégico","",""
"vacina adsorvida difteria, tétano e pertussis (acelular) infantil","Componente Estratégico","suspensão injetável",""
"vacina adsorvida difteria, tétano, pertussis, hepatite B (recombinante) e Haemophilus influenzae B (conjugada)","Componente Estratégico","",""
"vacina adsorvida difteria, tétano, pertussis, hepatite B (recombinante) e Haemophilus influenzae B (conjugada)","Componente Estratégico","suspensão injetável",""
"vacina adsorvida hepatite A (inativada) adulto","Componente Estratégico","",""
"vacina adsorvida hepatite A (inativada) adulto","Componente Estratégico","suspensão injetável",""
"vacina adsorvida hepatite A (inativada) infantil","Componente Estratégico","",""
"vacina adsorvida hepatite A (inativada) infantil","Componente Estratégico","suspensão injetável",""
"vacina BCG","Componente Estratégico","",""
"vacina BCG","Componente Estratégico","pó para suspensão injetável",""
"vacina cólera (inativada)","Componente Estratégico","",""
"vacina febre amarela (atenuada)","Componente Estratégico","",""
"vacina febre amarela (atenuada)","Componente Estratégico","pó para solução injetável",""
"vacina febre tifoide (polissacarídica)","Componente Estratégico","",""
"vacina febre tifoide (polissacarídica)","Componente Estratégico","solução injetável",""
"vacina Haemophilus influenzae B (conjugada)","Componente Estratégico","",""
"vacina Haemophilus influenzae B (conjugada)","Componente Estratégico","pó para solução injetável",""
"vacina hepatite B (recombinante)","Componente Estratégico","",""
"vacina hepatite B (recombinante)","Componente Estratégico","suspensão injetável",""
"vacina influenza trivalente (fragmentada, inativada)","Componente Estratégico","",""
"vacina influenza trivalente (fragmentada, inativada)","Componente Estratégico","suspensão injetável",""
"vacina meningocócica ACWY (conjugada)","Componente Estratégico","",""
"vacina meningocócica ACWY (conjugada)","Componente Estratégico","solução injetável",""
"vacina meningocócica C (conjugada)","Componente Estratégico","",""
"vacina meningocócica C (conjugada)","Componente Estratégico","pó para suspensão injetável",""
"vacina papilomavírus humano 6, 11, 16 e 18 (recombinante)","Componente Estratégico","",""
"vacina papilomavírus humano 6, 11, 16 e 18 (recombinante)","Componente Estratégico","suspensão injetável",""
"vacina pneumocócica 10-valente (conjugada)","Componente Estratégico","",""
"vacina pneumocócica 10-valente (conjugada)","Componente Estratégico","suspensão injetável",""
"vacina pneumocócica 13-valente (conjugada)","Componente Estratégico","",""
"vacina pneumocócica 13-valente (conjugada)","Componente Estratégico","solução injetável",""
"vacina pneumocócica 23-valente (polissacarídica)","Componente Estratégico","",""
"vacina pneumocócica 23-valente (polissacarídica)","Componente Estratégico","solução injetável",""
"vacina poliomielite 1 e 3 (atenuada)","Componente Estratégico","",""
"vacina poliomielite 1, 2 e 3 (inativada)","Componente Estratégico","",""
"vacina poliomielite 1, 2 e 3 (inativada)","Componente Estratégico","solução injetável",""
"vacina raiva (inativada)","Componente Estratégico","",""
"vacina raiva (inativada)","Componente Estratégico","pó para suspensão injetável",""
"vacina rotavírus humano G1P [8] (atenuada)","Componente Estratégico","",""
"vacina rotavírus humano G1P [8] (atenuada)","Componente Estratégico","suspensão oral",""
"vacina sarampo, caxumba, rubéola","Componente Estratégico","",""
"vacina sarampo, caxumba, rubéola","Componente Estratégico","pó para solução injetável",""
"vacina sarampo, caxumba, rubéola e varicela (atenuada)","Componente Estratégico","",""
"vacina sarampo, caxumba, rubéola e varicela (atenuada)","Componente Estratégico","pó para solução injetável",""
"vacina varicela (atenuada)","Componente Estratégico","",""
"vacina varicela (atenuada)","Componente Estratégico","pó para solução injetável",""
"zidovudina + lamivudina","Componente Estratégico","comprimido","200 mg"
"zidovudina + lamivudina","Componente Estratégico","pó liofilizado para solução injetável","200 mg"
"zidovudina + lamivudina","Componente Estratégico","pó para inalação oral","5 mg"
"zidovudina + lamivudina","Componente Estratégico","cápsula","100 mg"
"zidovudina + lamivudina","Componente Estratégico","solução injetável","10 mg/mL"
"zidovudina + lamivudina","Componente Estratégico","xarope","10 mg/mL"
"zidovudina + lamivudina","Componente Estratégico","comprimido","300 mg + 150 mg"
"Grupo de financiamento","Componente Especializado","pó para solução para infusão","250 mg"
"Grupo de financiamento","Componente Especializado","","1A"
"PCDT Artrite Reumatoide PCDT Artrite Idiopática Juvenil","Componente Especializado","solução injetável","125 mg/mL"
"PCDT Artrite Reumatoide PCDT Artrite Idiopática Juvenil","Componente Especializado","","1A"
"PCDT Artrite Reumatoide","Componente Especializado","comprimido","50 mg"
"PCDT Artrite Reumatoide","Componente Especializado","","1B"
"PCDT Puberdade Precoce Central PCDT Síndrome de Ovários Policísticos","Componente Especializado","solução spray nasal","0,1 mg/mL"
"PCDT Puberdade Precoce Central PCDT Síndrome de Ovários Policísticos","Componente Especializado","","1A"
"PCDT Diabetes Insipidus","Componente Especializado","comprimido","0,1 mg"
"PCDT Diabetes Insipidus","Componente Especializado","","1A"
"PCDT Diabetes Insipidus","Componente Especializado","comprimido","0,2 mg"
"PCDT Diabetes Insipidus","Componente Especializado","","1A"
"acetato de fludrocortisona","Componente Especializado","comprimido","0,1 mg"
"acetato de fludrocortisona","Componente Especializado","","2"
"PCDT Hiperplasia Adrenal Congênita PCDT Insuficiência Adrenal","Componente Especializado","solução injetável","20 mg"
"PCDT Hiperplasia Adrenal Congênita PCDT Insuficiência Adrenal","Componente Especializado","","1A"
"PCDT Esclerose Múltipla","Componente Especializado","solução injetável","40 mg"
"PCDT Esclerose Múltipla","Componente Especializado","","1A"
"PCDT Esclerose Múltipla","Componente Especializado","","1B"
"acetato de glatirâmer","Componente Especializado","implante","3,6 mg"
"Documento norteador1","Componente Especializado","implante","10,8 mg"
"Documento norteador1","Componente Especializado","","1B"
"PCDT Endometriose PCDT Leiomioma de Útero PCDT Puberdade Precoce Central","Componente Especializado","solução injetável de liberação prolongada","60 mg"
"PCDT Endometriose PCDT Leiomioma de Útero PCDT Puberdade Precoce Central","Componente Especializado","","1A"
"Grupo de financiamento","Componente Especializado","solução injetável de liberação prolongada","90 mg"
"Grupo de financiamento","Componente Especializado","","1A"
"PCDT Acromegalia","Componente Especializado","solução injetável de liberação prolongada","120 mg"
"PCDT Acromegalia","Componente Especializado","","1A"
"PCDT Acromegalia","Componente Especializado","pó para suspensão injetável de liberação prolongada","3,75 mg"
"PCDT Acromegalia","Componente Especializado","","1B"
"PCDT Endometriose PCDT Leiomioma de Útero PCDT Puberdade Precoce Central","Componente Especializado","pó para suspensão injetável","11,25 mg"
"PCDT Endometriose PCDT Leiomioma de Útero PCDT Puberdade Precoce Central","Componente Especializado","","1B"
"PCDT Endometriose PCDT Leiomioma de Útero PCDT Puberdade Precoce Central","Componente Especializado","pó para suspensão injetável de liberação prolongada","45 mg"
"PCDT Endometriose PCDT Leiomioma de Útero PCDT Puberdade Precoce Central","Componente Especializado","","1B"
"Grupo de financiamento","Componente Especializado","solução injetável","0,1 mg/mL"
"Grupo de financiamento","Componente Especializado","","1B"
"PCDT Acromegalia","Componente Especializado","pó para suspensão injetável","10 mg"
"PCDT Acromegalia","Componente Especializado","","1B"
"PCDT Acromegalia","Componente Especializado","pó para suspensão injetável","20 mg"
"PCDT Acromegalia","Componente Especializado","","1A"
"PCDT Acromegalia","Componente Especializado","pó para suspensão injetável","30 mg"
"PCDT Acromegalia","Componente Especializado","","1A"
"PCDT Acromegalia","Componente Especializado","comprimido","250 mg"
"PCDT Acromegalia","Componente Especializado","","2"
"PCDT Glaucoma","Componente Especializado","comprimido de liberação prolongada","500 mg"
"PCDT Glaucoma","Componente Especializado","","2"
"PCDT Dislipidemia: prevenção de eventos cardiovasculares e pancreatite","Componente Especializado","comprimido","50 mg"
"PCDT Dislipidemia: prevenção de eventos cardiovasculares e pancreatite","Componente Especializado","","1B"
"PCDT Colangite Biliar Primária","Componente Especializado","comprimido","150 mg"
"PCDT Colangite Biliar Primária","Componente Especializado","","1B"
"PCDT Colangite Biliar Primária","Componente Especializado","comprimido","300 mg"
"PCDT Colangite Biliar Primária","Componente Especializado","","1B"
"ácido zoledrônico","Componente Especializado","solução para infusão","0,05 mg/mL"
"ácido zoledrônico","Componente Especializado","","2"
"PCDT Doença de Paget PCDT Osteoporose","Componente Especializado","cápsula","10 mg"
"PCDT Doença de Paget PCDT Osteoporose","Componente Especializado","","1B"
"PCDT Ictioses Hereditárias PCDT Psoríase","Componente Especializado","cápsula","25 mg"
"PCDT Ictioses Hereditárias PCDT Psoríase","Componente Especializado","","1B"
"Documento norteador1","Componente Especializado","solução injetável","40 mg"
"Documento norteador1","Componente Especializado","","1A"
"alentuzumabe","Componente Especializado","solução para diluição para infusão","10 mg/mL"
"alentuzumabe","Componente Especializado","","1A"
"alfa-agalsidase","Componente Especializado","solução injetável","1 mg/mL"
"alfa-agalsidase","Componente Especializado","","1A"
"alfa-alglicosidade","Componente Especializado","pó para solução injetável","50 mg"
"alfa-alglicosidade","Componente Especializado","","1A"
"alfacerliponase","Componente Especializado","solução para infusão","30 mg/mL"
"alfacerliponase","Componente Especializado","","1A"
"alfadornase","Componente Especializado","solução inalatória","1 mg/mL"
"alfadornase","Componente Especializado","","1A"
"alfaelosulfase","Componente Especializado","solução injetável","5 mg"
"alfaelosulfase","Componente Especializado","","1A"
"PCDT Mucopolissacaridose Tipo IV A","Componente Especializado","solução injetável","1.000 UI"
"PCDT Mucopolissacaridose Tipo IV A","Componente Especializado","","1A"
"PCDT Anemia na Doença Renal Crônica PCDT Doença Falciforme","Componente Especializado","pó para solução injetável","1.000 UI"
"PCDT Anemia na Doença Renal Crônica PCDT Doença Falciforme","Componente Especializado","","1A"
"PCDT Anemia na Doença Renal Crônica PCDT Doença Falciforme","Componente Especializado","solução injetável","2.000 UI"
"PCDT Anemia na Doença Renal Crônica PCDT Doença Falciforme","Componente Especializado","","1A"
"PCDT Anemia na Doença Renal Crônica PCDT Doença Falciforme","Componente Especializado","pó para solução injetável","2.000 UI"
"PCDT Anemia na Doença Renal Crônica PCDT Doença Falciforme","Componente Especializado","","1A"
"Grupo de financiamento","Componente Especializado","solução injetável","3.000 UI"
"Grupo de financiamento","Componente Especializado","","1A"
"PCDT Anemia na Doença Renal Crônica PCDT Doença Falciforme","Componente Especializado","pó para solução injetável","3.000 UI"
"PCDT Anemia na Doença Renal Crônica PCDT Doença Falciforme","Componente Especializado","","1A"
"PCDT Anemia na Doença Renal Crônica PCDT Doença Falciforme","Componente Especializado","pó para solução injetável","4.000 UI"
"PCDT Anemia na Doença Renal Crônica PCDT Doença Falciforme","Componente Especializado","","1A"
"PCDT Anemia na Doença Renal Crônica PCDT Doença Falciforme","Componente Especializado","solução injetável","4.000 UI"
"PCDT Anemia na Doença Renal Crônica PCDT Doença Falciforme","Componente Especializado","","1A"
"PCDT Anemia na Doença Renal Crônica PCDT Doença Falciforme","Componente Especializado","solução injetável","10.000 UI"
"PCDT Anemia na Doença Renal Crônica PCDT Doença Falciforme","Componente Especializado","","1A"
"PCDT Anemia na Doença Renal Crônica PCDT Doença Falciforme PCDT Síndrome Mielodisplásica de baixo risco","Componente Especializado","pó para solução injetável","10.000 UI"
"PCDT Anemia na Doença Renal Crônica PCDT Doença Falciforme PCDT Síndrome Mielodisplásica de baixo risco","Componente Especializado","","1A"
"Grupo de financiamento","Componente Especializado","pó para solução injetável","3.000.000 UI"
"Grupo de financiamento","Componente Especializado","","1B"
"PCDT Hemangioma Infantil","Componente Especializado","pó para solução injetável","5.000.000 UI"
"PCDT Hemangioma Infantil","Componente Especializado","","1B"
"PCDT Hemangioma Infantil","Componente Especializado","pó para solução injetável","10.000.000 UI"
"PCDT Hemangioma Infantil","Componente Especializado","","1B"
"PCDT Hemangioma Infantil","Componente Especializado","pó para solução injetável","200 U"
"PCDT Hemangioma Infantil","Componente Especializado","","1A"
"PCDT Doença de Gaucher","Componente Especializado","pó para solução injetável","400 U"
"PCDT Doença de Gaucher","Componente Especializado","","1A"
"alfavestronidase","Componente Especializado","solução injetável","2 mg/mL"
"alfavestronidase","Componente Especializado","","1A"
"PCDT Mucopolissacaridose VII","Componente Especializado","comprimido","5 mg"
"PCDT Mucopolissacaridose VII","Componente Especializado","","1B"
"PCDT Hipertensão Pulmonar","Componente Especializado","comprimido","10 mg"
"PCDT Hipertensão Pulmonar","Componente Especializado","","1B"
"PCDT Hipertensão Pulmonar","Componente Especializado","comprimido","10 mg"
"PCDT Hipertensão Pulmonar","Componente Especializado","","2"
"PCDT Dislipidemia: prevenção de eventos cardiovasculares e pancreatite","Componente Especializado","comprimido","20 mg"
"PCDT Dislipidemia: prevenção de eventos cardiovasculares e pancreatite","Componente Especializado","","2"
"PCDT Dislipidemia: prevenção de eventos cardiovasculares e pancreatite","Componente Especializado","comprimido","40 mg"
"PCDT Dislipidemia: prevenção de eventos cardiovasculares e pancreatite","Componente Especializado","","2"
"PCDT Dislipidemia: prevenção de eventos cardiovasculares e pancreatite","Componente Especializado","comprimido","80 mg"
"PCDT Dislipidemia: prevenção de eventos cardiovasculares e pancreatite","Componente Especializado","","2"
"Documento norteador1","Componente Especializado","comprimido","50 mg"
"Documento norteador1","Componente Especializado","","2"
"PCDT Artrite Reumatoide PCDT Dermatomiosite e Polimiosite PCDT Doença de Crohn PCDT Esclerose Múltipla PDCT Esclerose Sistêmica PCDT Hepatite Autoimune PCDT Imunossupressão no Transplante Cardíaco PCDT Imunossupressão no Transplante Hepático em Adultos PCDT Imunossupressão no Transplante Hepático em Pediatria PCDT Imunossupressão em Transplante Renal PCDT Lúpus Eritematoso Sistêmico PCDT Miastenia Gravis PCDT Púrpura Trombocitopênica Idiopática PCDT Retocolite Ulcerativa PCDT Uveítes não Infecciosas","Componente Especializado","comprimido","2 mg"
"PCDT Artrite Reumatoide PCDT Dermatomiosite e Polimiosite PCDT Doença de Crohn PCDT Esclerose Múltipla PDCT Esclerose Sistêmica PCDT Hepatite Autoimune PCDT Imunossupressão no Transplante Cardíaco PCDT Imunossupressão no Transplante Hepático em Adultos PCDT Imunossupressão no Transplante Hepático em Pediatria PCDT Imunossupressão em Transplante Renal PCDT Lúpus Eritematoso Sistêmico PCDT Miastenia Gravis PCDT Púrpura Trombocitopênica Idiopática PCDT Retocolite Ulcerativa PCDT Uveítes não Infecciosas","Componente Especializado","","1A"
"PCDT Artrite Reumatoide","Componente Especializado","comprimido","4 mg"
"PCDT Artrite Reumatoide","Componente Especializado","","1A"
"Grupo de financiamento","Componente Especializado","pó para solução injetável","35 mg"
"Grupo de financiamento","Componente Especializado","","1A"
"PCDT Doença de Fabry","Componente Especializado","solução injetável","22 mcg (6.000.000 UI)"
"PCDT Doença de Fabry","Componente Especializado","","1A"
"PCDT Esclerose Múltipla","Componente Especializado","solução injetável","30 mcg (6.000.000 UI)"
"PCDT Esclerose Múltipla","Componente Especializado","","1A"
"PCDT Esclerose Múltipla","Componente Especializado","solução injetável","44 mcg (12.000.000 UI)"
"PCDT Esclerose Múltipla","Componente Especializado","","1A"
"PCDT Esclerose Múltipla","Componente Especializado","pó para solução injetável","300 mcg (9.600.000 UI)"
"PCDT Esclerose Múltipla","Componente Especializado","","1A"
"PCDT Esclerose Múltipla","Componente Especializado","comprimido","200 mg"
"PCDT Esclerose Múltipla","Componente Especializado","","2"
"PCDT Dislipidemia: prevenção de eventos cardiovasculares e pancreatite","Componente Especializado","comprimido de liberação prolongada","400 mg"
"PCDT Dislipidemia: prevenção de eventos cardiovasculares e pancreatite","Componente Especializado","","2"
"bimatoprosta","Componente Especializado","solução oftálmica","0,3 mg/mL (0,03%)"
"bimatoprosta","Componente Especializado","","1A"
"biotina","Componente Especializado","cápsula","2,5 mg"
"biotina","Componente Especializado","","1A"
"bissulfato de clopidogrel","Componente Especializado","comprimido","75 mg"
"bissulfato de clopidogrel","Componente Especializado","","2"
"Protocolo de Síndromes Coronarianas Agudas","Componente Especializado","comprimido","62,5 mg"
"Protocolo de Síndromes Coronarianas Agudas","Componente Especializado","","1B"
"PCDT Hipertensão Pulmonar","Componente Especializado","comprimido","125 mg"
"PCDT Hipertensão Pulmonar","Componente Especializado","","1B"
"brinzolamida","Componente Especializado","suspensão oftálmica","10 mg/mL (1%)"
"brinzolamida","Componente Especializado","","2"
"brometo de piridostigmina","Componente Especializado","comprimido","60 mg"
