medicamento,componente,forma_farmaceutica,concentracao
"cloridrato de clomipramina","Componente Básico","comprimido","2 mg"
"cloridrato de clomipramina","Componente Básico","solução injetável","2,5 mg/mL (0,25%)"
"cloridrato de clomipramina","Componente Básico","solução injetável","5 mg/mL (0,50%)"
"cloridrato de clomipramina","Componente Básico","cápsula","150 mg"
"cloridrato de clomipramina","Componente Básico","cápsula","300 mg"
"cloridrato de clomipramina","Componente Básico","comprimido","10 mg"
"cloridrato de clomipramina","Componente Básico","comprimido continua","25 mg"
"cloridrato de dobutamina","Componente Básico","solução injetável","12,5 mg/mL"
"cloridrato de dopamina","Componente Básico","solução injetável","5 mg/mL"
"cloridrato de dopamina","Componente Básico","cápsula","20 mg"
"cloridrato de dopamina","Componente Básico","comprimido","20 mg"
"cloridrato de dopamina","Componente Básico","comprimido","25 mg"
"cloridrato de dopamina","Componente Básico","comprimido","50 mg"
"cloridrato de dopamina","Componente Básico","solução injetável","10 mg/mL (1%)"
"cloridrato de dopamina","Componente Básico","solução injetável","20 mg/mL (2%)"
"cloridrato de dopamina","Componente Básico","gel","20 mg/g (2%)"
"cloridrato de dopamina","Componente Básico","solução spray","100 mg/mL (10%)"
"cloridrato de dopamina","Componente Básico","solução injetável","50 mg/mL + 75 mg/mL (5% + 7,5%)"
"cloridrato de dopamina","Componente Básico","solução injetável","2% + 1:200.000 (20 mg + 20 mcg/mL)"
"cloridrato de dopamina","Componente Básico","solução injetável","2% + 1:80.000 (20 mg + 12,5 mcg/mL)"
"cloridrato de dopamina","Componente Básico","solução injetável","1% + 1:200.000 (10 mg + 20 mcg/mL)"
"cloridrato de pilocarpina","Componente Básico","solução oftálmica","20 mg/mL (2%)"
"cloridrato de piridoxina","Componente Básico","comprimido","40 mg"
"cloridrato de prilocaína + felipressina","Componente Básico","solução injetável","30 mg/mL (3%) + 0,03 UI/mL"
"cloridrato de prilocaína + felipressina","Componente Básico","comprimido","25 mg"
"cloridrato de prilocaína + felipressina","Componente Básico","solução injetável","25 mg/mL"
"diazepam","Componente Básico","comprimido","300 mg"
"diazepam","Componente Básico","comprimido","150 mg"
"diazepam","Componente Básico","comprimido","10 mg"
"diazepam","Componente Básico","comprimido","40 mg"
"diazepam","Componente Básico","solução injetável","10 mg/mL"
"diazepam","Componente Básico","pomada oftálmica","5 mg/g"
"diazepam","Componente Básico","cápsula","500 mg"
"diazepam","Componente Básico","comprimido","300 mg"
"diazepam","Componente Básico","comprimido","80 mg"
"diazepam","Componente Básico","solução injetável","2,5 mg/mL"
"diazepam","Componente Básico","comprimido","120 mg"
"diazepam","Componente Básico","creme dermatológico","1 mg/g (0,1%)"
"diazepam","Componente Básico","pomada oftálmica","1 mg/g (0,1%)"
"diazepam","Componente Básico","suspensão oftálmica","1 mg/mL (0,1%)"
"diazepam","Componente Básico","comprimido","4 mg"
"diazepam","Componente Básico","","0,1 mg/mL"
"elixir","Componente Básico","solução injetável","4 mg/mL"
"elixir","Componente Básico","solução injetável","5 mg/mL"
"elixir","Componente Básico","comprimido","5 mg"
"elixir","Componente Básico","comprimido continua","10 mg"
"elixir","Componente Básico","comprimido sublingual","5 mg"
"elixir","Componente Básico","comprimido","500 mg"
"elixir","Componente Básico","solução oral","500 mg/mL"
"elixir","Componente Básico","solução injetável","500 mg/mL"
"elixir","Componente Básico","solução aerossol","50 mcg/dose"
"elixir","Componente Básico","suspensão para inalação nasal","50 mcg/dose"
"elixir","Componente Básico","pó para inalação oral","200 mcg/dose"
"elixir","Componente Básico","solução aerossol","200 mcg/dose"
"elixir","Componente Básico","solução aerossol","250 mcg/dose"
"elixir","Componente Básico","cápsula para inalação oral","200 mcg/dose"
"elixir","Componente Básico","pó para inalação oral","400 mcg/dose"
"elixir","Componente Básico","cápsula para inalação oral","400 mcg/dose"
"enantato de noretisterona + valerato de estradiol","Componente Básico","solução injetável","50 mg/mL + 5 mg/mL"
"epinefrina","Componente Básico","solução injetável","1 mg/mL"
"fenitoína","Componente Básico","cápsula","60 a 90 mg taninos totais expressos em pirogalol (dose diária)"
"fenitoína","Componente Básico","","60 a 90 mg taninos totais expressos em pirogalol (dose diária)"
"tintura","Componente Básico","suspensão oral","60 a 90 mg taninos totais expressos em pirogalol (dose diária)"
"tintura","Componente Básico","emulsão oral","60 a 90 mg taninos totais expressos em pirogalol (dose diária)"
"tintura","Componente Básico","comprimido","25 mg"
"tintura","Componente Básico","comprimido","100 mg"
"tintura","Componente Básico","suspensão oral","25 mg/mL"
"tintura","Componente Básico","comprimido","500 mg"
"tintura","Componente Básico","suspensão oral","50 mg/mL"
"tintura","Componente Básico","creme vaginal","1 mg/g"
"tintura","Componente Básico","creme vaginal","0,625 mg/g"
"tintura","Componente Básico","comprimido","0,3 mg"
"tintura","Componente Básico","comprimido","0,625 mg"
"tintura","Componente Básico","comprimido","0,03 mg + 0,15 mg"
"tintura","Componente Básico","comprimido","100 mg"
"tintura","Componente Básico","suspensão oral","20 mg/mL"
"tintura","Componente Básico","solução injetável continua","50 mg/mL"
"flumazenil","Componente Básico","solução injetável","0,1 mg/mL"
"folinato de cálcio","Componente Básico","comprimido","15 mg"
"fosfato de cálcio tribásico + colecalciferol","Componente Básico","comprimido","1661,616 mg (600 mg de cálcio) + 400 UI"
"fosfato de cálcio tribásico + colecalciferol","Componente Básico","solução tópica","10 mg/g"
"fosfato de cálcio tribásico + colecalciferol","Componente Básico","gel","10 mg/g"
"fosfato de cálcio tribásico + colecalciferol","Componente Básico","solução injetável","0,03 g/mL + 0,1567 g/mL (equivalente a 2 mEq/mL)"
"fosfato de cálcio tribásico + colecalciferol","Componente Básico","solução oral","1 mg/mL"
"fosfato de cálcio tribásico + colecalciferol","Componente Básico","solução oral","3 mg/mL"
"gliclazida","Componente Básico","comprimido","40 mg"
"gliclazida","Componente Básico","solução injetável","10 mg/mL"
"gliclazida","Componente Básico","cápsula","30 a 100 mg de harpagosídeo ou 45 a 150 mg de iridoides totais expressos em harpagosídeos (dose diária)"
"gliclazida","Componente Básico","comprimido","30 a 100 mg de harpagosídeo ou 45 a 150 mg de iridoides totais expressos em harpagosídeos (dose diária)"
"gliclazida","Componente Básico","comprimido de liberação prolongada","30 a 100 mg de harpagosídeo ou 45 a 150 mg de iridoides totais expressos em harpagosídeos (dose diária)"
"gliclazida","Componente Básico","pomada oftálmica","5 mg/g"
"gliclazida","Componente Básico","solução oftálmica","5 mg/mL"
"gliclazida","Componente Básico","comprimido","5 mg"
"gliclazida","Componente Básico","solução retal","120 mg/mL"
"gliclazida","Componente Básico","supositório retal","81 mg - 92 mg"
"gliclazida","Componente Básico","comprimido de liberação prolongada","30 mg"
"gliclazida","Componente Básico","comprimido de liberação prolongada","60 mg"
"gliclazida","Componente Básico","comprimido continua","80 mg"
"tintura","Componente Básico","xarope","0,5 a 5 mg de cumarina (dose diária)"
"tintura","Componente Básico","solução oral","0,5 a 5 mg de cumarina (dose diária)"
"tintura","Componente Básico","comprimido","1 mg"
"tintura","Componente Básico","comprimido","5 mg"
"tintura","Componente Básico","solução injetável","50 mg/mL"
"tintura","Componente Básico","solução oral","2 mg/mL"
"tintura","Componente Básico","solução injetável","5 mg/mL"
"hemitartarato de norepinefrina","Componente Básico","solução injetável","2 mg/mL"
"heparina sódica","Componente Básico","solução injetável","5.000 UI/0,25 mL"
"heparina sódica","Componente Básico","comprimido","230 mg"
"heparina sódica","Componente Básico","comprimido","300 mg"
"heparina sódica","Componente Básico","suspensão oral","60 mg/mL"
"heparina sódica","Componente Básico","comprimido","12,5 mg"
"heparina sódica","Componente Básico","comprimido","25 mg"
"heparina sódica","Componente Básico","solução oftálmica","3 mg/mL (0,3%)"
"heparina sódica","Componente Básico","solução oftálmica","5 mg/mL (0,5%)"
"imiquimode","Componente Básico","creme","50 mg/g"
"insulina humana NPH","Componente Básico","suspensão injetável","100 UI/mL"
"insulina humana regular","Componente Básico","solução injetável","100 UI/mL"
"insulina humana regular","Componente Básico","cápsula","50 a 120 mg de isoflavonas (dose diária)"
"insulina humana regular","Componente Básico","comprimido","50 a 120 mg de isoflavonas (dose diária)"
"insulina humana regular","Componente Básico","solução oral","10 mg/mL"
"insulina humana regular","Componente Básico","cápsula","100 mg"
"ivermectina","Componente Básico","comprimido","6 mg"
"lactato de biperideno","Componente Básico","solução injetável","5 mg/mL"
"lactulose","Componente Básico","xarope","667 mg/mL"
"lactulose","Componente Básico","cápsula","100 mg + 25 mg"
"lactulose","Componente Básico","comprimido","100 mg + 25 mg"
"lactulose","Componente Básico","comprimido","200 mg + 50 mg"
"maleato de timolol","Componente Básico","comprimido","200 mg + 50 mg"
"maleato de timolol","Componente Básico","comprimido","250 mg + 25 mg"
"maleato de timolol","Componente Básico","comprimido","0,75 mg"
"maleato de timolol","Componente Básico","comprimido","1,5 mg"
"maleato de timolol","Componente Básico","comprimido","12,5 mcg"
"maleato de timolol","Componente Básico","comprimido","25 mcg"
"maleato de timolol","Componente Básico","comprimido","37,5 mcg"
"maleato de timolol","Componente Básico","comprimido","50 mcg"
"maleato de timolol","Componente Básico","comprimido","100 mcg"
"maleato de timolol","Componente Básico","xarope","1 mg/mL"
"maleato de timolol","Componente Básico","comprimido","10 mg"
"maleato de timolol","Componente Básico","comprimido","50 mg"
"maleato de timolol","Componente Básico","comprimido","2 mg"
"maleato de timolol","Componente Básico","solução oral","0,4 mg/mL"
"maleato de timolol","Componente Básico","xarope","0,4 mg/mL"
"maleato de timolol","Componente Básico","comprimido","5 mg"
"maleato de timolol","Componente Básico","comprimido","10 mg"
"maleato de timolol","Componente Básico","comprimido","20 mg"
"maleato de timolol","Componente Básico","solução oftálmica","2,5 mg/mL (0,25%)"
"maleato de timolol","Componente Básico","solução oftálmica continua","5 mg/mL (0,5%)"
"Conforme Farmacopeia Homeopática Brasileira vigente","Componente Básico","comprimido","2 mg"
"Conforme Farmacopeia Homeopática Brasileira vigente","Componente Básico","comprimido","4 mg"
"metilsulfato de pralidoxima","Componente Básico","solução injetável","200 mg"
"metildopa","Componente Básico","comprimido","250 mg"
"metildopa","Componente Básico","gel vaginal","100 mg/g (10%)"
"metildopa","Componente Básico","comprimido","250 mg"
"metildopa","Componente Básico","comprimido","400 mg"
"metildopa","Componente Básico","solução oral","2 mg/mL"
"metildopa","Componente Básico","comprimido vaginal","25 mcg"
"metildopa","Componente Básico","comprimido vaginal","200 mcg"
"metildopa","Componente Básico","comprimido","20 mg"
"metildopa","Componente Básico","comprimido","40 mg"
"metildopa","Componente Básico","cápsula","10 mg"
"metildopa","Componente Básico","comprimido","10 mg"
"metildopa","Componente Básico","suspensão oral","100.000 UI/mL"
"metildopa","Componente Básico","gel oral","2% (20 mg/g)"
"metildopa","Componente Básico","loção","2% (20 mg/g)"
"metildopa","Componente Básico","pó","2% (20 mg/g)"
"metildopa","Componente Básico","creme vaginal","2% (20 mg/g)"
"metildopa","Componente Básico","creme","2% (20 mg/g)"
"plantago (Plantago ovata Forssk.)","Componente Básico","",""
"óleo para uso oral","Componente Básico","cápsula","10 mg"
"óleo para uso oral","Componente Básico","cápsula","20 mg"
"óleo para uso oral","Componente Básico","solução oral","150.000 UI/mL"
"óleo para uso oral","Componente Básico","solução oral","200 mg/mL"
"óleo para uso oral","Componente Básico","comprimido","500 mg"
"óleo para uso oral","Componente Básico","pasta","250 mg/g (25%)"
"óleo para uso oral","Componente Básico","comprimido para uso tópico","100 mg"
"óleo para uso oral","Componente Básico","pó","100 mg (FN)"
"óleo para uso oral","Componente Básico","loção","10 mg/g (1%) 10 mg/mL (1%)"
"óleo para uso oral","Componente Básico","loção","50 mg/g (5%) 50 mg/mL (5%)"
"óleo para uso oral","Componente Básico","gel","25 mg/g (2,5%)"
"óleo para uso oral","Componente Básico","gel","50 mg/g (5%)"
"óleo para uso oral","Componente Básico","pó para dispersão oral","3 a 30 g (dose diária)"
"óleo para uso oral","Componente Básico","granulado simples","3 a 30 g (dose diária)"
"óleo para uso oral","Componente Básico","pó efervescente continua","3 a 30 g (dose diária)"
"podofilina (FN)","Componente Básico","solução para uso tópico","100 mg/mL (10%) a 250 mg/ mL (25%)"
"podofilotoxina","Componente Básico","creme","1,5 mg/g"
"podofilotoxina","Componente Básico","comprimido","5 mg"
"podofilotoxina","Componente Básico","comprimido","20 mg"
"propiltiouracila","Componente Básico","comprimido","100 mg"
"rifampicina","Componente Básico","cápsula","300 mg"
"cloreto de sódio, glicose anidra, cloreto de potássio, citrato de sódio diidratado","Componente Básico","pó para solução oral",""
"cloreto de sódio, glicose anidra, cloreto de potássio, citrato de sódio diidratado","Componente Básico","comprimido","60 a 240 mg de salicina (dose diária)"
"cloreto de sódio, glicose anidra, cloreto de potássio, citrato de sódio diidratado","Componente Básico","","60 a 240 mg de salicina (dose diária)"
"elixir","Componente Básico","solução oral","60 a 240 mg de salicina (dose diária)"
"elixir","Componente Básico","comprimido","10 mg"
"elixir","Componente Básico","comprimido","20 mg"
"elixir","Componente Básico","comprimido","40 mg"
"elixir","Componente Básico","solução injetável","lactato de sódio 3 mg/mL + cloreto de sódio 6 mg/mL + cloreto de potássio 0,3 mg/ mL + cloreto de cálcio 0,2 mg/mL"
"sinvastatina","Componente Básico","solução ringer + lactato",""
"succinato sódico de hidrocortisona","Componente Básico","pó para solução injetável","100 mg"
"succinato sódico de hidrocortisona","Componente Básico","pó para solução injetável","500 mg"
"sulfadiazina de prata","Componente Básico","creme","10 mg/g (1%)"
"sulfadiazina de prata","Componente Básico","suspensão oral","40 mg/mL + 8 mg/mL"
"sulfadiazina de prata","Componente Básico","solução injetável","80 mg/mL + 16 mg/mL"
"sulfadiazina de prata","Componente Básico","comprimido","400 mg + 80 mg"
"sulfadiazina de prata","Componente Básico","solução injetável","0,25 mg/mL"
"sulfato de salbutamol","Componente Básico","pó para solução oral",""
"sulfato de salbutamol","Componente Básico","solução injetável","10% (0,81 mEq/mL Mg++)"
"sulfato de salbutamol","Componente Básico","solução injetável","50% (4,05 mEq/mL Mg++)"
"sulfato de salbutamol","Componente Básico","solução otológica","10.000 UI/mL + 3,500 mg/mL + 0,250 mg/mL + 20 mg/mL"
"sulfato de salbutamol","Componente Básico","suspensão aerossol","100 mcg/dose"
"sulfato de salbutamol","Componente Básico","solução para inalação","5 mg/mL"
"sulfato de salbutamol","Componente Básico","solução injetável continua","0,5 mg/mL"
"varfarina sódica","Componente Básico","solução injetável","200 mcg/mL"
"varfarina sódica","Componente Básico","comprimido mastigável","10 mg"
"varfarina sódica","Componente Básico","xarope","4 mg/mL"
"varfarina sódica","Componente Básico","xarope","Equivalente a 5 mg/mL de ferro elementar"
"varfarina sódica","Componente Básico","solução oral","Equivalente a 25 mg/mL de ferro elementar"
"varfarina sódica","Componente Básico","comprimido","Equivalente a 40 mg de ferro elementar"
